shipment_id,inspection_status,defect_type
465,Pass,Damaged Item
466,Pass,Packaging
467,Pass,Damaged Item
468,Pass,Late Arrival
469,Pass,Late Arrival
470,Pass,Packaging
471,Pass,Damaged Item
472,Pass,Damaged Item
473,Fail,Damaged Item
474,Pass,None
475,Pass,Damaged Item
476,Pass,Late Arrival
477,Pass,Damaged Item
478,Pass,None
479,Pass,Damaged Item
480,Pass,Packaging
481,Pass,Damaged Item
482,Pass,Damaged Item
483,Pass,Late Arrival
484,Pass,Packaging
485,Pass,None
486,Pass,None
487,Pass,Late Arrival
488,Pass,None
489,Pass,Packaging
490,Pass,Packaging
491,Pass,Late Arrival
492,Pass,Damaged Item
493,Pass,None
494,Pass,Packaging
495,Pass,Damaged Item
496,Pass,None
497,Pass,Damaged Item
498,Pass,Late Arrival
499,Pass,Late Arrival
500,Pass,Damaged Item
501,Pass,Packaging
502,Pass,Late Arrival
503,Pass,None
504,Pass,Late Arrival
505,Pass,Damaged Item
506,Pass,Packaging
507,Fail,Packaging
508,Pass,Packaging
509,Pass,None
510,Pass,Packaging
511,Pass,None
512,Pass,Packaging
513,Pass,None
514,Pass,Late Arrival
515,Pass,None
516,Pass,None
517,Pass,None
518,Pass,None
519,Pass,None
520,Pass,Packaging
521,Pass,None
522,Pass,Damaged Item
523,Pass,Packaging
524,Pass,Late Arrival
525,Pass,None
526,Fail,Packaging
527,Pass,Damaged Item
528,Pass,Packaging
529,Pass,Damaged Item
530,Pass,Packaging
531,Pass,Late Arrival
532,Pass,Late Arrival
533,Pass,Late Arrival
534,Pass,None
535,Pass,Packaging
536,Pass,Packaging
537,Pass,Damaged Item
538,Pass,Packaging
539,Pass,Late Arrival
540,Pass,None
541,Pass,Packaging
542,Pass,Packaging
543,Pass,None
544,Pass,Late Arrival
545,Pass,None
546,Pass,Packaging
547,Pass,Damaged Item
548,Pass,Damaged Item
549,Pass,Late Arrival
550,Pass,Damaged Item
551,Pass,None
552,Pass,Packaging
553,Pass,Late Arrival
554,Pass,None
555,Pass,Late Arrival
556,Pass,Damaged Item
557,Pass,None
558,Pass,Packaging
559,Pass,Packaging
560,Pass,None
561,Pass,Late Arrival
562,Pass,Packaging
563,Fail,None
564,Pass,Late Arrival
565,Pass,Packaging
566,Pass,None
567,Pass,Late Arrival
568,Pass,Late Arrival
569,Pass,Damaged Item
570,Pass,None
571,Pass,Late Arrival
572,Pass,None
573,Pass,Late Arrival
574,Pass,Packaging
575,Pass,Late Arrival
576,Pass,Packaging
577,Pass,Late Arrival
578,Pass,Damaged Item
579,Pass,None
580,Pass,Late Arrival
581,Pass,None
582,Pass,None
583,Pass,Late Arrival
584,Pass,Damaged Item
585,Pass,Packaging
586,Pass,Packaging
587,Pass,None
588,Pass,Late Arrival
589,Pass,Late Arrival
590,Fail,Packaging
591,Pass,None
592,Pass,Packaging
593,Pass,None
594,Pass,Packaging
595,Pass,Packaging
596,Pass,None
597,Pass,Damaged Item
598,Pass,None
599,Pass,Packaging
600,Pass,Packaging
601,Pass,None
602,Pass,Damaged Item
603,Pass,None
604,Pass,None
605,Pass,None
606,Pass,None
607,Pass,Packaging
608,Pass,Packaging
609,Pass,None
610,Pass,Late Arrival
611,Fail,Damaged Item
612,Pass,Damaged Item
613,Pass,Packaging
614,Pass,Damaged Item
615,Pass,Damaged Item
616,Pass,None
617,Pass,Late Arrival
618,Pass,Damaged Item
619,Pass,Packaging
620,Pass,Late Arrival
621,Pass,Damaged Item
622,Pass,Late Arrival
623,Pass,Damaged Item
624,Pass,Packaging
625,Pass,Packaging
626,Pass,None
627,Pass,None
628,Fail,None
629,Pass,None
630,Fail,Late Arrival
631,Pass,Damaged Item
632,Pass,Damaged Item
633,Fail,Damaged Item
634,Pass,None
635,Pass,Damaged Item
636,Pass,Late Arrival
637,Pass,Damaged Item
638,Fail,Damaged Item
639,Pass,Packaging
640,Pass,Packaging
641,Pass,Late Arrival
642,Pass,Damaged Item
643,Fail,Damaged Item
644,Pass,None
645,Pass,None
646,Pass,None
647,Pass,Damaged Item
648,Fail,Packaging
649,Pass,None
650,Pass,Late Arrival
651,Pass,Packaging
652,Pass,Packaging
653,Pass,Late Arrival
654,Pass,None
655,Pass,Late Arrival
656,Pass,Packaging
657,Pass,None
658,Pass,Late Arrival
659,Pass,Late Arrival
660,Pass,None
661,Pass,None
662,Pass,None
663,Pass,None
664,Pass,None
665,Pass,None
666,Pass,Packaging
667,Pass,Late Arrival
668,Pass,Damaged Item
669,Pass,None
670,Pass,Packaging
671,Pass,None
672,Pass,Late Arrival
673,Pass,Late Arrival
674,Pass,Packaging
675,Pass,Packaging
676,Pass,Damaged Item
677,Pass,Damaged Item
678,Pass,Packaging
679,Pass,Damaged Item
680,Pass,Late Arrival
681,Pass,Late Arrival
682,Pass,Packaging
683,Pass,Damaged Item
684,Pass,Damaged Item
685,Pass,Packaging
686,Pass,Damaged Item
687,Pass,None
688,Pass,Late Arrival
689,Pass,Late Arrival
690,Pass,Late Arrival
691,Pass,Packaging
692,Fail,None
693,Pass,Late Arrival
694,Pass,Damaged Item
695,Pass,Packaging
696,Pass,Packaging
697,Pass,Damaged Item
698,Pass,None
699,Pass,None
700,Pass,Late Arrival
701,Pass,Late Arrival
702,Pass,Late Arrival
703,Pass,Damaged Item
704,Pass,Late Arrival
705,Pass,Damaged Item
706,Pass,Late Arrival
707,Pass,Packaging
708,Pass,None
709,Pass,None
710,Pass,None
711,Pass,Damaged Item
712,Pass,Damaged Item
713,Pass,Damaged Item
714,Pass,Late Arrival
715,Pass,None
716,Pass,Late Arrival
717,Pass,None
718,Pass,None
719,Pass,Damaged Item
720,Pass,None
721,Pass,Packaging
722,Pass,None
723,Pass,Damaged Item
724,Pass,Damaged Item
725,Pass,Late Arrival
726,Pass,Late Arrival
727,Pass,Late Arrival
728,Pass,Packaging
729,Pass,Packaging
730,Pass,Packaging
731,Pass,Damaged Item
732,Fail,Packaging
733,Pass,Late Arrival
734,Pass,Late Arrival
735,Pass,Late Arrival
736,Pass,Late Arrival
737,Pass,Damaged Item
738,Pass,Packaging
739,Pass,Late Arrival
740,Pass,Damaged Item
741,Pass,None
742,Pass,Damaged Item
743,Fail,Damaged Item
744,Pass,Late Arrival
745,Pass,Late Arrival
746,Pass,Damaged Item
747,Pass,Packaging
748,Fail,None
749,Fail,Packaging
750,Pass,Packaging
751,Pass,None
752,Pass,Packaging
753,Pass,None
754,Pass,Packaging
755,Pass,Packaging
756,Pass,None
757,Pass,Damaged Item
758,Pass,None
759,Pass,None
760,Pass,Late Arrival
761,Pass,Late Arrival
762,Pass,None
763,Pass,Late Arrival
764,Pass,None
765,Pass,Packaging
766,Pass,Late Arrival
767,Pass,Packaging
768,Pass,Late Arrival
769,Pass,None
770,Pass,Damaged Item
771,Pass,Damaged Item
772,Pass,Damaged Item
773,Pass,Packaging
774,Pass,Packaging
775,Pass,None
776,Pass,Late Arrival
777,Pass,Packaging
778,Pass,Late Arrival
779,Pass,Packaging
780,Pass,Damaged Item
781,Pass,Late Arrival
782,Pass,Packaging
783,Pass,Late Arrival
784,Pass,Packaging
785,Pass,Packaging
786,Pass,Packaging
787,Pass,Damaged Item
788,Pass,Damaged Item
789,Pass,Damaged Item
790,Pass,None
791,Pass,Late Arrival
792,Pass,None
793,Pass,Damaged Item
794,Pass,Packaging
795,Pass,None
796,Pass,Packaging
797,Pass,Packaging
798,Pass,Late Arrival
799,Pass,Packaging
800,Pass,None
801,Pass,Damaged Item
802,Pass,Packaging
803,Pass,Damaged Item
804,Pass,Late Arrival
805,Pass,None
806,Pass,Packaging
807,Pass,Packaging
808,Pass,None
809,Pass,Packaging
810,Pass,None
811,Pass,Packaging
812,Pass,Damaged Item
813,Pass,Late Arrival
814,Pass,Packaging
815,Pass,Damaged Item
816,Pass,None
817,Pass,Damaged Item
818,Pass,None
819,Pass,None
820,Fail,Damaged Item
821,Pass,Late Arrival
822,Pass,Packaging
823,Pass,None
824,Pass,Packaging
825,Pass,Late Arrival
826,Pass,Damaged Item
827,Pass,None
828,Pass,Damaged Item
829,Pass,Late Arrival
830,Pass,Late Arrival
831,Pass,None
832,Pass,None
833,Pass,Late Arrival
834,Pass,Damaged Item
835,Pass,Packaging
836,Pass,Damaged Item
837,Pass,Packaging
838,Pass,Damaged Item
839,Pass,Packaging
840,Pass,Packaging
841,Fail,None
842,Pass,Damaged Item
843,Pass,Packaging
844,Pass,Packaging
845,Pass,Late Arrival
846,Pass,Late Arrival
847,Pass,Packaging
848,Fail,Packaging
849,Pass,None
850,Pass,Damaged Item
851,Pass,None
852,Pass,Damaged Item
853,Pass,Late Arrival
854,Pass,Late Arrival
855,Pass,Packaging
856,Pass,Damaged Item
857,Pass,None
858,Pass,Damaged Item
859,Pass,Damaged Item
860,Pass,Late Arrival
861,Pass,None
862,Pass,None
863,Pass,None
864,Pass,Damaged Item
865,Pass,Packaging
866,Pass,Late Arrival
867,Pass,Late Arrival
868,Fail,Damaged Item
869,Pass,Damaged Item
870,Pass,None
871,Pass,Packaging
872,Pass,Packaging
873,Pass,None
874,Pass,Damaged Item
875,Pass,None
876,Pass,None
877,Pass,Damaged Item
878,Pass,Packaging
879,Pass,None
880,Pass,Late Arrival
881,Pass,Late Arrival
882,Pass,None
883,Pass,None
884,Pass,None
885,Pass,None
886,Pass,Damaged Item
887,Pass,Packaging
888,Pass,None
889,Pass,Damaged Item
890,Pass,Late Arrival
891,Pass,Late Arrival
892,Pass,Packaging
893,Pass,Damaged Item
894,Pass,Damaged Item
895,Pass,Late Arrival
896,Fail,Packaging
897,Pass,Packaging
898,Pass,Late Arrival
899,Pass,Packaging
900,Pass,Damaged Item
901,Pass,Packaging
902,Pass,Damaged Item
903,Fail,Late Arrival
904,Pass,Packaging
905,Fail,Packaging
906,Pass,None
907,Pass,None
908,Pass,Late Arrival
909,Pass,Packaging
910,Pass,Damaged Item
911,Pass,Late Arrival
912,Pass,Packaging
913,Pass,Damaged Item
914,Pass,Late Arrival
915,Pass,Late Arrival
916,Pass,None
917,Pass,Damaged Item
918,Pass,Late Arrival
919,Pass,Late Arrival
920,Pass,Damaged Item
921,Pass,Damaged Item
922,Pass,Packaging
923,Pass,Packaging
924,Pass,None
925,Pass,Packaging
926,Pass,Packaging
927,Pass,Late Arrival
928,Pass,Late Arrival
929,Pass,Damaged Item
930,Fail,None
931,Pass,Damaged Item
932,Pass,Late Arrival
933,Pass,Late Arrival
934,Pass,Damaged Item
935,Pass,Late Arrival
936,Pass,None
937,Pass,Late Arrival
938,Pass,None
939,Pass,Late Arrival
940,Pass,None
941,Fail,Packaging
942,Pass,Packaging
943,Pass,Late Arrival
944,Pass,Damaged Item
945,Pass,Late Arrival
946,Pass,None
947,Pass,Damaged Item
948,Fail,Late Arrival
949,Pass,Packaging
950,Pass,Damaged Item
951,Pass,None
952,Pass,None
953,Pass,Damaged Item
954,Pass,None
955,Pass,Late Arrival
956,Pass,None
957,Pass,Packaging
958,Fail,Packaging
959,Pass,Late Arrival
960,Pass,None
961,Pass,None
962,Pass,Late Arrival
963,Pass,Damaged Item
964,Fail,None
965,Pass,None
966,Pass,Packaging
967,Pass,None
968,Pass,None
969,Pass,Packaging
970,Pass,None
971,Pass,None
972,Pass,Late Arrival
973,Fail,Late Arrival
974,Pass,Packaging
975,Pass,Damaged Item
976,Fail,Packaging
977,Pass,Packaging
978,Pass,Damaged Item
979,Pass,Packaging
980,Pass,Damaged Item
981,Pass,Late Arrival
982,Fail,Packaging
983,Pass,Packaging
984,Pass,Damaged Item
985,Pass,None
986,Pass,Late Arrival
987,Fail,Packaging
988,Pass,Damaged Item
989,Pass,Packaging
990,Pass,Damaged Item
991,Pass,Late Arrival
992,Pass,Damaged Item
993,Pass,Late Arrival
994,Pass,None
995,Pass,Late Arrival
996,Fail,Damaged Item
997,Pass,None
998,Pass,Packaging
999,Pass,Packaging
1000,Pass,Damaged Item
1001,Pass,Packaging
1002,Pass,Packaging
1003,Pass,Late Arrival
1004,Pass,None
1005,Pass,Packaging
1006,Pass,None
1007,Pass,None
1008,Pass,Packaging
1009,Pass,Late Arrival
1010,Pass,Damaged Item
1011,Pass,Late Arrival
1012,Pass,None
1013,Pass,None
1014,Pass,Packaging
1015,Pass,Packaging
1016,Pass,Damaged Item
1017,Pass,Damaged Item
1018,Pass,None
1019,Pass,None
1020,Pass,Packaging
1021,Pass,Late Arrival
1022,Pass,Packaging
1023,Pass,Damaged Item
1024,Pass,Damaged Item
1025,Pass,Damaged Item
1026,Pass,Damaged Item
1027,Pass,Late Arrival
1028,Pass,None
1029,Pass,None
1030,Pass,Late Arrival
1031,Pass,None
1032,Pass,Damaged Item
1033,Fail,Late Arrival
1034,Pass,Damaged Item
1035,Pass,Packaging
1036,Pass,Late Arrival
1037,Pass,Late Arrival
1038,Pass,Damaged Item
1039,Pass,Damaged Item
1040,Pass,Packaging
1041,Pass,Packaging
1042,Pass,Late Arrival
1043,Pass,Damaged Item
1044,Pass,Damaged Item
1045,Pass,Late Arrival
1046,Pass,Damaged Item
1047,Pass,Packaging
1048,Pass,Packaging
1049,Fail,Late Arrival
1050,Pass,Damaged Item
1051,Pass,Packaging
1052,Pass,Late Arrival
1053,Pass,Late Arrival
1054,Pass,Packaging
1055,Pass,None
1056,Fail,Late Arrival
1057,Pass,None
1058,Pass,Packaging
1059,Pass,Packaging
1060,Pass,None
1061,Fail,Late Arrival
1062,Pass,Damaged Item
1063,Pass,Packaging
1064,Pass,Packaging
1065,Pass,Damaged Item
1066,Pass,Late Arrival
1067,Pass,Late Arrival
1068,Pass,Damaged Item
1069,Pass,None
1070,Pass,Damaged Item
1071,Pass,Late Arrival
1072,Pass,Damaged Item
1073,Pass,Packaging
1074,Pass,Late Arrival
1075,Pass,Late Arrival
1076,Pass,Packaging
1077,Pass,Late Arrival
1078,Pass,Damaged Item
1079,Pass,None
1080,Pass,Late Arrival
1081,Pass,Damaged Item
1082,Pass,None
1083,Pass,Late Arrival
1084,Pass,Damaged Item
1085,Pass,Packaging
1086,Pass,Late Arrival
1087,Pass,Late Arrival
1088,Pass,Damaged Item
1089,Pass,None
1090,Pass,Damaged Item
1091,Pass,None
1092,Pass,None
1093,Pass,Late Arrival
1094,Pass,Damaged Item
1095,Pass,Late Arrival
1096,Pass,None
1097,Pass,Damaged Item
1098,Pass,Packaging
1099,Fail,Damaged Item
1100,Pass,None
1101,Pass,Damaged Item
1102,Pass,Damaged Item
1103,Pass,Late Arrival
1104,Pass,None
1105,Pass,None
1106,Pass,None
1107,Pass,None
1108,Pass,Packaging
1109,Pass,Late Arrival
1110,Pass,None
1111,Pass,Damaged Item
1112,Pass,None
1113,Pass,None
1114,Pass,Packaging
1115,Pass,Damaged Item
1116,Pass,Late Arrival
1117,Pass,Damaged Item
1118,Pass,Late Arrival
1119,Pass,Packaging
1120,Fail,Damaged Item
1121,Pass,Damaged Item
1122,Pass,Packaging
1123,Pass,Damaged Item
1124,Pass,Late Arrival
1125,Pass,None
1126,Pass,Packaging
1127,Pass,Packaging
1128,Pass,Late Arrival
1129,Pass,Late Arrival
1130,Pass,Packaging
1131,Pass,Packaging
1132,Pass,Damaged Item
1133,Pass,Damaged Item
1134,Pass,Packaging
1135,Pass,Damaged Item
1136,Pass,None
1137,Pass,Damaged Item
1138,Pass,None
1139,Pass,Packaging
1140,Pass,Late Arrival
1141,Pass,Packaging
1142,Pass,None
1143,Pass,Packaging
1144,Pass,Damaged Item
1145,Pass,Packaging
1146,Pass,Damaged Item
1147,Pass,Late Arrival
1148,Pass,Packaging
1149,Pass,Damaged Item
1150,Pass,Late Arrival
1151,Pass,Late Arrival
1152,Pass,Late Arrival
1153,Pass,Packaging
1154,Pass,Damaged Item
1155,Pass,Packaging
1156,Pass,Packaging
1157,Pass,None
1158,Pass,Late Arrival
1159,Pass,Packaging
1160,Pass,Late Arrival
1161,Pass,Damaged Item
1162,Pass,Late Arrival
1163,Pass,Late Arrival
1164,Pass,Damaged Item
1165,Pass,Packaging
1166,Pass,Damaged Item
1167,Pass,Late Arrival
1168,Pass,None
1169,Pass,None
1170,Pass,Damaged Item
1171,Pass,Damaged Item
1172,Pass,Late Arrival
1173,Pass,Packaging
1174,Pass,Late Arrival
1175,Pass,Damaged Item
1176,Pass,Late Arrival
1177,Pass,Packaging
1178,Pass,Damaged Item
1179,Pass,Damaged Item
1180,Pass,Packaging
1181,Pass,Packaging
1182,Pass,None
1183,Pass,Damaged Item
1184,Pass,Packaging
1185,Pass,None
1186,Pass,Late Arrival
1187,Pass,Damaged Item
1188,Pass,Damaged Item
1189,Pass,Damaged Item
1190,Pass,None
1191,Pass,None
1192,Pass,None
1193,Pass,Late Arrival
1194,Fail,Late Arrival
1195,Pass,Late Arrival
1196,Pass,Packaging
1197,Pass,Packaging
1198,Pass,Packaging
1199,Pass,Damaged Item
1200,Pass,Late Arrival
1201,Pass,Late Arrival
1202,Pass,None
1203,Pass,Packaging
1204,Pass,Damaged Item
1205,Pass,Damaged Item
1206,Pass,None
1207,Pass,Late Arrival
1208,Pass,None
1209,Pass,None
1210,Pass,Damaged Item
1211,Pass,None
1212,Pass,None
1213,Pass,Late Arrival
1214,Pass,Late Arrival
1215,Pass,Packaging
1216,Pass,Late Arrival
1217,Pass,Packaging
1218,Pass,Late Arrival
1219,Pass,Late Arrival
1220,Pass,Packaging
1221,Pass,Late Arrival
1222,Pass,None
1223,Pass,Packaging
1224,Pass,Damaged Item
1225,Pass,Late Arrival
